Year;Catch_G;Catch_M;Catch_S;TanaTotal;ExplStart_G;ExplStart_M;ExplStart_S;ExplMin;ExplMax;ExplCorrSoft;FemProp_G;FemProp_M;FemProp_S;FemPropMin;FemPropMax;UnrepMin;UnrepMed;UnrepMax
2006;1097;714;102;108596;0.5;0.4;0.3;0.8;1.25;0.2;0.14;0.73;0.39;0.9;1.1;0;0.05;0.1
2007;427;672;192;100542;0.5;0.4;0.3;0.8;1.25;0.2;0.34;0.74;0.46;0.9;1.1;0;0.05;0.1
2008;740;889;691;121860;0.5;0.4;0.3;0.8;1.25;0.2;0.06;0.59;0.87;0.9;1.1;0;0.05;0.1
2009;731;449;307;63499;0.5;0.4;0.3;0.8;1.25;0.2;0.15;0.74;0.56;0.9;1.1;0;0.05;0.1
2010;620;1020;330;87058;0.5;0.4;0.3;0.8;1.25;0.2;0.15;0.74;0.56;0.9;1.1;0;0.05;0.1
2011;429;608;405;79342;0.5;0.4;0.3;0.8;1.25;0.2;0.04;0.77;0.66;0.9;1.1;0;0.05;0.1
2012;726;783;260;108794;0.5;0.4;0.3;0.8;1.25;0.2;0.11;0.86;0.6;0.9;1.1;0;0.05;0.1
2013;388;478;113;79883;0.45;0.35;0.25;0.8;1.25;0.2;0.15;0.74;0.56;0.9;1.1;0;0.05;0.1
2014;534;754;208;99236;0.45;0.35;0.25;0.8;1.25;0.2;0.15;0.74;0.56;0.9;1.1;0;0.05;0.1
2015;663;488;167;78124;0.4;0.3;0.2;0.8;1.25;0.2;0.15;0.74;0.56;0.9;1.1;0;0.05;0.1
2016;485;801;252;84744;0.4;0.3;0.2;0.8;1.25;0.2;0.15;0.74;0.56;0.9;1.1;0;0.05;0.1
2017;202;705;244;60610;0.36;0.27;0.18;0.8;1.25;0.2;0.15;0.74;0.56;0.9;1.1;0;0.05;0.1
2018;346;371;139;49530;0.33;0.25;0.16;0.8;1.25;0.2;0.15;0.74;0.56;0.9;1.1;0;0.05;0.1
2019;201;411;97;40006;0.33;0.25;0.16;0.8;1.25;0.2;0.15;0.74;0.56;0.9;1.1;0;0.05;0.1
2020;169;218;141;31591;0.2;0.25;0.3;0.8;1.25;0.2;0.15;0.74;0.56;0.9;1.1;0;0.05;0.1
